Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
glutamine,L-glutamine,HMDB0000641,5961,18050,C00064,5614,N[C@@H](CCC(N)=O)C(O)=O,1
serine,L-serine,HMDB0062263,5951,17822,C00716,5203,N[C@@H](CO)C(O)=O,1
glycine,glycine,HMDB0000123,750,15428,C00037,20,NCC(O)=O,1
estrogen,17a-ethynylestradiol,HMDB0001926,5991,4903,C07534,6392,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,1
27-Hydroxycholesterol,27-Hydroxycholesterol,HMDB0002103,17396601,387060,C06340,6487,C[C@H](CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)CO,1
Lysophosphatidic acid,1-lysophosphatidic acid,NA,5885531,52288,NA,NA,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)O,1
Kynurenine,L-kynurenine,HMDB0000684,161166,16946,C00328,72,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O,1
Deoxycholate,deoxycholate,HMDB0000626,222528,28834,C04483,265,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
Lactate,L-lactic acid,HMDB0000190,107689,422,C00186,5205,C[C@H](O)C(O)=O,1
Tryptophan,L-tryptophan,HMDB0000929,6305,16828,C00078,5879,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1
2-Hydroxyglutarate,2-Hydroxyglutarate,HMDB0059655,43,17084,C02630,NA,OC(CCC(O)=O)C(O)=O,1
